GEOID,GEOID_10,state_code,state_abbr,state_name,county_code,county_name,cousub_code,cousub_name,cousub_name_2010,2010_density,2010_diversity_index,2010_pop,2010_pop_hisp,2010_pop_white_non_hisp,2010_pop_black_non_hisp,2010_pop_aian_non_hisp,2010_pop_asian_non_hisp,2010_pop_nhpi_non_hisp,2010_pop_other_non_hisp,2010_pop_two_plus_non_hisp,2010_vap,2010_vap_hisp,2010_vap_white_non_hisp,2010_vap_black_non_hisp,2010_vap_aian_non_hisp,2010_vap_asian_non_hisp,2010_vap_nhpi_non_hisp,2010_vap_other_non_hisp,2010_vap_two_plus_non_hisp,2010_u18,2010_u18_hisp,2010_u18_white_non_hisp,2010_u18_black_non_hisp,2010_u18_aian_non_hisp,2010_u18_asian_non_hisp,2010_u18_nhpi_non_hisp,2010_u18_other_non_hisp,2010_u18_two_plus_non_hisp,2010_gq,2010_gq_inst,2010_gq_inst_correctional,2010_gq_inst_juvenile,2010_gq_inst_nurse,2010_gq_inst_other,2010_gq_noninst,2010_gq_noninst_college,2010_gq_noninst_military,2010_gq_noninst_other,2010_prop_gq_inst_correctional_of_pop,2010_hu,2010_hu_occupied,2010_hu_vacant,2010_vacancy_rate,2010_land_area_sqmeters,2010_land_area_sqmi,2010_water_area_sqmeters,2020_density,2020_diversity_index,2020_pop,2020_pop_hisp,2020_pop_white_non_hisp,2020_pop_black_non_hisp,2020_pop_aian_non_hisp,2020_pop_asian_non_hisp,2020_pop_nhpi_non_hisp,2020_pop_other_non_hisp,2020_pop_two_plus_non_hisp,2020_vap,2020_vap_hisp,2020_vap_white_non_hisp,2020_vap_black_non_hisp,2020_vap_aian_non_hisp,2020_vap_asian_non_hisp,2020_vap_nhpi_non_hisp,2020_vap_other_non_hisp,2020_vap_two_plus_non_hisp,2020_u18,2020_u18_hisp,2020_u18_white_non_hisp,2020_u18_black_non_hisp,2020_u18_aian_non_hisp,2020_u18_asian_non_hisp,2020_u18_nhpi_non_hisp,2020_u18_other_non_hisp,2020_u18_two_plus_non_hisp,2020_gq,2020_gq_inst,2020_gq_inst_correctional,2020_gq_inst_juvenile,2020_gq_inst_nurse,2020_gq_inst_other,2020_gq_noninst,2020_gq_noninst_college,2020_gq_noninst_military,2020_gq_noninst_other,2020_prop_gq_inst_correctional_of_pop,2020_hu,2020_hu_occupied,2020_hu_vacant,2020_vacancy_rate,2020_land_area_sqmeters,2020_land_area_sqmi,2020_water_area_sqmeters,raw_change_density,raw_change_diversity_index,raw_change_pop,raw_change_pop_hisp,raw_change_pop_white_non_hisp,raw_change_pop_black_non_hisp,raw_change_pop_aian_non_hisp,raw_change_pop_asian_non_hisp,raw_change_pop_nhpi_non_hisp,raw_change_pop_other_non_hisp,raw_change_pop_two_plus_non_hisp,raw_change_vap,raw_change_vap_hisp,raw_change_vap_white_non_hisp,raw_change_vap_black_non_hisp,raw_change_vap_aian_non_hisp,raw_change_vap_asian_non_hisp,raw_change_vap_nhpi_non_hisp,raw_change_vap_other_non_hisp,raw_change_vap_two_plus_non_hisp,raw_change_u18,raw_change_u18_hisp,raw_change_u18_white_non_hisp,raw_change_u18_black_non_hisp,raw_change_u18_aian_non_hisp,raw_change_u18_asian_non_hisp,raw_change_u18_nhpi_non_hisp,raw_change_u18_other_non_hisp,raw_change_u18_two_plus_non_hisp,raw_change_gq,raw_change_gq_inst,raw_change_gq_inst_correctional,raw_change_gq_inst_juvenile,raw_change_gq_inst_nurse,raw_change_gq_inst_other,raw_change_gq_noninst,raw_change_gq_noninst_college,raw_change_gq_noninst_military,raw_change_gq_noninst_other,raw_change_prop_gq_inst_correctional_of_pop,raw_change_hu,raw_change_hu_occupied,raw_change_hu_vacant,raw_change_vacancy_rate,raw_change_land_area_meters,raw_change_land_area_sqmi,raw_change_water_area_meters,prop_change_density,prop_change_pop,prop_change_pop_hisp,prop_change_pop_white_non_hisp,prop_change_pop_black_non_hisp,prop_change_pop_aian_non_hisp,prop_change_pop_asian_non_hisp,prop_change_pop_nhpi_non_hisp,prop_change_pop_other_non_hisp,prop_change_pop_two_plus_non_hisp,prop_change_vap,prop_change_vap_hisp,prop_change_vap_white_non_hisp,prop_change_vap_black_non_hisp,prop_change_vap_aian_non_hisp,prop_change_vap_asian_non_hisp,prop_change_vap_nhpi_non_hisp,prop_change_vap_other_non_hisp,prop_change_vap_two_plus_non_hisp,prop_change_u18,prop_change_u18_hisp,prop_change_u18_white_non_hisp,prop_change_u18_black_non_hisp,prop_change_u18_aian_non_hisp,prop_change_u18_asian_non_hisp,prop_change_u18_nhpi_non_hisp,prop_change_u18_other_non_hisp,prop_change_u18_two_plus_non_hisp,prop_change_gq,prop_change_gq_inst,prop_change_gq_inst_correctional,prop_change_gq_inst_juvenile,prop_change_gq_inst_nurse,prop_change_gq_inst_other,prop_change_gq_noninst,prop_change_gq_noninst_college,prop_change_gq_noninst_military,prop_change_gq_noninst_other,prop_change_hu,prop_change_hu_occupied,prop_change_hu_vacant,prop_change_land_area_sqmi,flag_prop_change_land_area
0600000US3400100000,3400100000,34,NJ,New Jersey,001,Atlantic County,00000,County subdivisions not defined,County subdivisions not defined,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,141638182,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,141050744,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,-587438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0600000US3400100100,3400100100,34,NJ,New Jersey,001,Atlantic County,00100,Absecon city,Absecon city,1558.8031281981048,45,8411,631,6142,788,16,662,0,18,154,6659,416,5036,586,15,511,0,6,89,1752,215,1106,202,1,151,0,12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3365,3179,186,5.53,13975074,5.39580646705699,4911452,1670.9236610811333,54,9137,1086,5931,1035,13,691,3,53,325,7428,731,5047,806,7,582,0,35,220,1709,355,884,229,6,109,3,18,105,164,137,0,0,137,0,27,0,0,27,NA,3888,3614,274,7.05,14162658,5.468233057450459,4528729,112.12053288302855,9,726,455,-211,247,-3,29,3,35,171,769,315,11,220,-8,71,0,29,131,-43,140,-222,27,5,-42,3,6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,435,88,1.5199999999999996,187584,0.07242659039346933,-382723,7.19,8.63,72.11,-3.44,31.35,-18.75,4.38,Inf,194.44,111.04,11.55,75.72,0.22,37.54,-53.33,13.89,NA,483.33,147.19,-2.45,65.12,-20.07,13.37,500,-27.81,Inf,50,61.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.54,13.68,47.31,1.34,0
0600000US3400102080,3400102080,34,NJ,New Jersey,001,Atlantic County,02080,Atlantic City city,Atlantic City city,3680.82834252414,73,39558,12044,6338,14100,102,6132,8,64,770,29841,8128,5857,10408,69,4796,6,48,529,9717,3916,481,3692,33,1336,2,16,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20013,15504,4509,22.53,27834698,10.747037438011295,16289908,3577.631084224206,74,38497,11513,6219,13079,72,6208,17,263,1126,29455,8008,5759,9803,66,4841,15,157,806,9042,3505,460,3276,6,1367,2,106,320,895,104,10,0,94,0,791,496,31,264,0.03,20419,15859,4560,22.33,27869494,10.760472249292274,16715885,-103.19725829993422,1,-1061,-531,-119,-1021,-30,76,9,199,356,-386,-120,-98,-605,-3,45,9,109,277,-675,-411,-21,-416,-27,31,0,90,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,355,51,-0.20000000000000284,34796,0.013434811280978565,425977,-2.8,-2.68,-4.41,-1.88,-7.24,-29.41,1.24,112.5,310.94,46.23,-1.29,-1.48,-1.67,-5.81,-4.35,0.94,150,227.08,52.36,-6.95,-10.5,-4.37,-11.27,-81.82,2.32,0,562.5,32.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,2.29,1.13,0.13,0
0600000US3400107810,3400107810,34,NJ,New Jersey,001,Atlantic County,07810,Brigantine city,Brigantine city,1479.4845490756466,29,9450,650,7939,244,6,442,2,11,156,7901,422,6837,187,5,351,2,5,92,1549,228,1102,57,1,91,0,6,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9222,4294,4928,53.44,16543185,6.387359709774717,10301305,1183.0039554527193,29,7716,488,6448,155,3,385,2,39,196,6814,356,5862,120,3,305,0,19,149,902,132,586,35,0,80,2,20,47,4,0,0,0,0,0,4,0,0,4,NA,9294,3798,5496,59.13,16892883,6.52237886816464,11242613,-296.48059362292724,0,-1734,-162,-1491,-89,-3,-57,0,28,40,-1087,-66,-975,-67,-2,-46,-2,14,57,-647,-96,-516,-22,-1,-11,2,14,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,-496,568,5.690000000000005,349698,0.13501915838992318,941308,-20.04,-18.35,-24.92,-18.78,-36.48,-50,-12.9,0,254.55,25.64,-13.76,-15.64,-14.26,-35.83,-40,-13.11,-100,280,61.96,-41.77,-42.11,-46.82,-38.6,-100,-12.09,Inf,233.33,-26.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,-11.55,11.53,2.11,0
0600000US3400108680,3400108680,34,NJ,New Jersey,001,Atlantic County,08680,Buena borough,Buena borough,607.4382116819451,57,4603,1354,2685,390,13,82,3,7,69,3457,882,2185,284,10,54,3,6,33,1146,472,500,106,3,28,0,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1855,1723,132,7.12,19626218,7.5777254566430425,3410,594.36607391867,58,4501,1449,2507,319,7,79,4,3,133,3511,1002,2109,244,5,65,4,3,79,990,447,398,75,2,14,0,0,54,22,0,0,0,0,0,22,0,0,22,NA,1923,1766,157,8.16,19613394,7.572774082350961,3293,-13.072137763275009,1,-102,95,-178,-71,-6,-3,1,-4,64,54,120,-76,-40,-5,11,1,-3,46,-156,-25,-102,-31,-1,-14,0,-1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,43,25,1.04,-12824,-0.004951374292081923,-117,-2.15,-2.22,7.02,-6.63,-18.21,-46.15,-3.66,33.33,-57.14,92.75,1.56,13.61,-3.48,-14.08,-50,20.37,33.33,-50,139.39,-13.61,-5.3,-20.4,-29.25,-33.33,-50,NA,-100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,2.5,18.94,-0.07,0
0600000US3400108710,3400108710,34,NJ,New Jersey,001,Atlantic County,08710,Buena Vista township,Buena Vista township,184.39229941355956,44,7570,869,5509,969,21,76,3,7,116,5840,543,4445,721,15,50,3,3,60,1730,326,1064,248,6,26,0,4,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3008,2786,222,7.38,106328785,41.05377515262619,1229410,171.20376589557833,47,7033,909,4996,737,6,59,1,29,296,5730,622,4228,611,5,47,1,22,194,1303,287,768,126,1,12,0,7,102,27,0,0,0,0,0,27,0,0,27,NA,2981,2750,231,7.75,106395940,41.0797038441877,1297594,-13.188533517981227,3,-537,40,-513,-232,-15,-17,-2,22,180,-110,79,-217,-110,-10,-3,-2,19,134,-427,-39,-296,-122,-5,-14,0,3,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27,-36,9,0.3700000000000001,67155,0.025928691561510675,68184,-7.15,-7.09,4.6,-9.31,-23.94,-71.43,-22.37,-66.67,314.29,155.17,-1.88,14.55,-4.88,-15.26,-66.67,-6,-66.67,633.33,223.33,-24.68,-11.96,-27.82,-49.19,-83.33,-53.85,NA,75,82.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,-1.29,4.05,0.06,0
0600000US3400115160,3400115160,34,NJ,New Jersey,001,Atlantic County,15160,Corbin City city,Corbin City city,64.18468560449725,10,492,17,466,2,0,6,0,0,1,378,12,359,1,0,5,0,0,1,114,5,107,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,185,27,12.74,19853242,7.665379916818147,3302576,61.19040914933505,14,471,17,437,2,0,0,0,3,12,387,12,365,1,0,0,0,2,7,84,5,72,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,NA,211,187,24,11.37,19935875,7.69728469784416,3304587,-2.9942764551621934,4,-21,0,-29,0,0,-6,0,3,11,9,0,6,0,0,-5,0,2,6,-30,0,-35,0,0,-1,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,2,-3,-1.370000000000001,82633,0.031904781026012685,2011,-4.67,-4.27,0,-6.22,0,NA,-100,NA,Inf,1100,2.38,0,1.67,0,NA,-100,NA,Inf,600,-26.32,0,-32.71,0,NA,-100,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47,1.08,-11.11,0.42,0
0600000US3400120290,3400120290,34,NJ,New Jersey,001,Atlantic County,20290,Egg Harbor township,Egg Harbor township,650.516964532875,55,43323,5630,27743,3838,69,5041,8,51,943,31960,3582,21458,2783,44,3630,3,21,439,11363,2048,6285,1055,25,1411,5,30,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16347,15250,1097,6.71,172487508,66.59780199753821,21589686,713.5596358591046,63,47842,8336,26968,4285,81,6005,13,257,1897,37068,5590,22145,3336,74,4668,13,162,1080,10774,2746,4823,949,7,1337,0,95,817,217,102,0,0,95,7,115,0,0,115,NA,18160,17065,1095,6.03,173650806,67.04695388550063,21826136,63.04267132622954,8,4519,2706,-775,447,12,964,5,206,954,5108,2008,687,553,30,1038,10,141,641,-589,698,-1462,-106,-18,-74,-5,65,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1813,1815,-2,-0.6799999999999997,1163298,0.44915188796241523,236450,9.69,10.43,48.06,-2.79,11.65,17.39,19.12,62.5,403.92,101.17,15.98,56.06,3.2,19.87,68.18,28.6,333.33,671.43,146.01,-5.18,34.08,-23.26,-10.05,-72,-5.24,-100,216.67,62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.09,11.9,-0.18,0.67,0
0600000US3400120350,3400120350,34,NJ,New Jersey,001,Atlantic County,20350,Egg Harbor City city,Egg Harbor City city,388.1204297532839,62,4243,1115,2261,668,5,85,4,5,100,3187,728,1879,466,4,61,3,4,42,1056,387,382,202,1,24,1,1,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1736,1593,143,8.24,28314199,10.932173817021546,1310875,405.1261541897153,68,4396,1223,1979,840,3,117,1,32,201,3369,820,1709,600,3,98,1,16,122,1027,403,270,240,0,19,0,16,79,29,11,0,11,0,0,18,0,0,18,NA,1896,1712,184,9.7,28103807,10.850941008220888,1477247,17.00572443643142,6,153,108,-282,172,-2,32,-3,27,101,182,92,-170,134,-1,37,-2,12,80,-29,16,-112,38,-1,-5,-1,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,119,41,1.459999999999999,-210392,-0.08123280880065842,166372,4.38,3.61,9.69,-12.47,25.75,-40,37.65,-75,540,101,5.71,12.64,-9.05,28.76,-25,60.66,-66.67,300,190.48,-2.75,4.13,-29.32,18.81,-100,-20.83,-100,1500,36.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22,7.47,28.67,-0.74,0
0600000US3400121870,3400121870,34,NJ,New Jersey,001,Atlantic County,21870,Estell Manor city,Estell Manor city,32.538991159228864,9,1735,18,1659,16,2,28,0,0,12,1321,11,1281,7,2,16,0,0,4,414,7,378,9,0,12,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673,619,54,8.02,138099831,53.32064511495806,4604332,31.24353322827987,18,1668,64,1511,33,4,2,0,5,49,1339,38,1233,18,4,2,0,5,39,329,26,278,15,0,0,0,0,10,19,17,0,17,0,0,2,0,0,2,NA,706,631,75,10.62,138271813,53.38704773921732,4653192,-1.295457930948995,9,-67,46,-148,17,2,-26,0,5,37,18,27,-48,11,2,-14,0,5,35,-85,19,-100,6,0,-12,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,12,21,2.5999999999999996,171982,0.06640262425926124,48860,-3.98,-3.86,255.56,-8.92,106.25,100,-92.86,NA,Inf,308.33,1.36,245.45,-3.75,157.14,100,-87.5,NA,Inf,875,-20.53,271.43,-26.46,66.67,NA,-100,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,1.94,38.89,0.12,0
