Variable,Description
 GEOID,"Full GEOID including prefix - used to connect to shapefiles. Ex: ""0600000US4400105140"""
 GEOID_10,"County Subdivision FIPS code (10-digit). Ex: ""4400105140"""
 state_code,State FIPS code (2-digit)
 state_abbr,State Abbreviation
 state_name,State Name
 county_code,County code (3-digit)
 county_name,County name
 cousub_name,2020 County subdivision name
 cousub_name_2010,2010 County subdivision name
 `2010_density`,2010 Population density (total population/land area sqmi)
 `2010_diversity_index`,2010 Diversity Index (includes 8 non-ovelapping race/ethnic groups recommended by OMB)
 `2010_pop`,2010 Total Population
 `2010_pop_hisp`,2010 Hispanic Population
 `2010_pop_white_non_hisp`,"2010 White alone, Non-Hispanic Population"
 `2010_pop_black_non_hisp`,"2010 Black alone, Non-Hispanic Population"
 `2010_pop_aian_non_hisp`,"2010 American Indian and Alaska Native alone, Non-Hispanic Population"
 `2010_pop_asian_non_hisp`,"2010 Asian alone, Non-Hispanic Population"
 `2010_pop_nhpi_non_hisp`,"2010 Native Hawaiian and Other Pacific Islander alone, Non-Hispanic Population"
 `2010_pop_other_non_hisp`,"2010 Some Other Race alone, Non-Hispanic Population"
 `2010_pop_two_plus_non_hisp`,"2010 Two or More Races, Non-Hispanic Population"
 `2010_vap`,2010 Population 18 Years and Over
 `2010_vap_hisp`,2010 Hispanic Population 18 Years and Over
 `2010_vap_white_non_hisp`,"2010 White alone, Non-Hispanic Population 18 Years and Over"
 `2010_vap_black_non_hisp`,"2010 Black alone, Non-Hispanic Population 18 Years and Over"
 `2010_vap_aian_non_hisp`,"2010 American Indian and Alaska Native alone, Non-Hispanic 18 Years and Over"
 `2010_vap_asian_non_hisp`,"2010 Asian alone, Non-Hispanic Population 18 Years and Over"
 `2010_vap_nhpi_non_hisp`,"2010 Native Hawaiian and Other Pacific Islander alone, Non-Hispanic Population 18 Years and Over"
 `2010_vap_other_non_hisp`,"2010 Some Other Race alone, Non-Hispanic Population 18 Years and Over"
